Timestamp entering;Timestamp leaving;Random number bar;Bussiness number bar;Hash bar
1607091593879;1607091604120;556;1;A0HHHvqHdfO7byAR01D5/efNBt4=
1607092026913;1607092029143;556;1;A0HHHvqHdfO7byAR01D5/efNBt4=
1607092380019;1607092382215;556;1;A0HHHvqHdfO7byAR01D5/efNBt4=
1607092500605;1607092509930;9298;1;xD60G6Nxn+ALfRZCyU8d8MBC4hE=
1607092597423;1607092599936;4072;1;4Zf81gt24L7f8450tzUNGzNDfkY=
1607094866266;1607094953121;5856;1;4qsghZIXrEsx4nbK4Lhe/Sqe5CU=
1607097069681;1607097085508;2880;1;/W57CgFoYlXr3Ksgehpjc4IObmI=
1607097224195;1607097226557;2880;1;/W57CgFoYlXr3Ksgehpjc4IObmI=
1607097366822;1607097386089;7540;1;om2npV+KdtuZ8bYAOWBtVUedqsY=
1607098583076;1607098591959;8427;1;qKO57fITjOdtbQw0CY1XZXrZfm0=
1607101472138;1607101483495;2446;1;0y/AjsEUIl29f6yHaZi+l6IA1bc=
1607101520478;1607101521859;2446;1;0y/AjsEUIl29f6yHaZi+l6IA1bc=
1607101738276;1607101741827;7186;1;ViIGj8/S9OwU9rXI4NZxo/GQ7Oc=
1607102105278;1607102108048;7186;1;ViIGj8/S9OwU9rXI4NZxo/GQ7Oc=
1607172668301;1607172673553;3478;1;C6xYTvqJjwt9mTWoWkwNNzXPD+4=
